Color,Zip Code,Color (copy),County,Town,Latitude (generated),Longitude (generated),Vaccination Rate 9-17
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04544,Green,Lincoln,East Boothbay,43.8413,-69.5894,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04543,Green,Lincoln,Damariscotta,44.0349,-69.4903,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04539,Green,Lincoln,Bristol,43.9569,-69.5037,0.840772818
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04538,Green,Lincoln,Boothbay Harbor,43.8567,-69.6319,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04537,Green,Lincoln,Boothbay,43.9025,-69.6238,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04535,Green,Lincoln,Alna,44.0877,-69.6347,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04530,Green,Sagadahoc,Bath,43.8982,-69.831,0.983410389
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04496,Green,Waldo,Winterport,44.6586,-68.9139,0.876844647
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04493,Green,Penobscot,West Enfield,45.2374,-68.54,0.694444444
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04491,Green,Washington,Vanceboro,45.4525,-67.4854,0.880597015
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04488,Green,Penobscot,Stetson,44.876,-69.1114,0.696261682
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04485,Green,Piscataquis,Shirley Mills,45.3653,-69.587,0.6
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04481,Green,Piscataquis,Sebec,45.2426,-69.1044,0.754777070
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04479,Green,Piscataquis,Sangerville,45.1276,-69.307,0.734831461
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04478,Green,Somerset,Rockwood,45.9778,-69.6681,0.990131579
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04476,Green,Hancock,Penobscot,44.4775,-68.7033,0.952575634
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04474,Green,Penobscot,Orrington,44.715,-68.779,0.980847046
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04472,Green,Hancock,Orland,44.5743,-68.6755,0.771244635
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04464,Green,Piscataquis,Monson,45.2902,-69.5058,0.773246330
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04463,Green,Piscataquis,Milo,45.2761,-68.9066,0.752486611
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04462,Green,Penobscot,Millinocket,45.622,-68.7849,0.835748792
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04461,Green,Penobscot,Milford,44.9773,-68.5706,0.757968970
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04460,Green,Penobscot,Medway,45.6467,-68.4973,0.602608099
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04459,Green,Penobscot,Mattawamkeag,45.6079,-68.3543,0.697574893
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04457,Green,Penobscot,Lincoln,45.412,-68.4989,0.745793468
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04456,Green,Penobscot,Levant,44.8865,-68.9977,0.739232053
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04455,Green,Penobscot,Lee,45.3286,-68.2725,0.674489796
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04454,Green,Washington,Lambert Lake,45.5036,-67.5476,0.607142857
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04453,Green,Penobscot,Lagrange,45.1854,-68.7746,0.637824475
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04450,Green,Penobscot,Kenduskeag,44.9151,-68.9288,0.690170940
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04449,Green,Penobscot,Hudson,44.9966,-68.884,0.722955145
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04448,Green,Penobscot,Howland,45.3108,-68.7186,0.740902475
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04444,Green,Penobscot,Hampden,44.7263,-68.9459,0.990406628
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04443,Green,Piscataquis,Guilford,45.2277,-69.398,0.706869010
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04442,Green,Piscataquis,Greenville Junction,45.502,-69.6704,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04441,Green,Piscataquis,Greenville,46.0857,-69.1924,0.979606701
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04438,Green,Waldo,Frankfort,44.5982,-68.9213,0.794957983
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04435,Green,Penobscot,Exeter,44.9644,-69.1355,0.697214735
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04434,Green,Penobscot,Etna,44.7854,-69.1337,0.650147929
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04430,Green,Penobscot,East Millinocket,45.6465,-68.5867,0.760024676
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04429,Green,Penobscot,Holden,44.72,-68.6156,0.941130452
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04428,Green,Penobscot,Eddington,44.8067,-68.5554,0.811104218
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04427,Green,Penobscot,Corinth,44.9805,-69.0108,0.655570652
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04426,Green,Piscataquis,Dover Foxcroft,45.2193,-69.1846,0.877669039
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04424,Green,Washington,Danforth,45.6226,-67.9012,0.617755857
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04421,Green,Hancock,Castine,44.4166,-68.7957,0.669498726
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04419,Green,Penobscot,Carmel,44.7969,-69.0314,0.791381669
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04417,Green,Penobscot,Burlington,45.241,-68.3732,0.801075269
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04416,Green,Hancock,Bucksport,44.6302,-68.7491,0.910232730
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04414,Green,Piscataquis,Brownville,45.4634,-69.1445,0.618516087
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04413,Green,Washington,Brookton,45.5566,-67.7073,0.984615385
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04412,Green,Penobscot,Brewer,44.7835,-68.735,0.980196982
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04411,Green,Penobscot,Bradley,44.8842,-68.5682,0.834879406
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04408,Green,Hancock,Aurora,45.0497,-68.1985,0.830434783
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04406,Green,Piscataquis,Abbot,45.2333,-69.5692,0.627647715
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04364,Green,Kennebec,Winthrop,44.3116,-69.9614,0.889149757
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04363,Green,Kennebec,Windsor,44.3112,-69.5784,0.658989599
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04360,Green,Kennebec,Vienna,44.5467,-70.0044,0.735880399
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04359,Green,Kennebec,South Gardiner,44.18,-69.7572,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04358,Green,Kennebec,South China,44.4183,-69.5327,0.718771177
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04357,Green,Sagadahoc,Richmond,44.1237,-69.8287,0.787138444
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04355,Green,Kennebec,Readfield,44.3822,-69.9491,0.859420290
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04354,Green,Waldo,Palermo,44.396,-69.4271,0.700244200
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04353,Green,Lincoln,Whitefield,44.2052,-69.6126,0.727427598
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04352,Green,Kennebec,Mount Vernon,44.4652,-69.9618,0.968164794
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04351,Green,Kennebec,Manchester,44.3314,-69.8604,0.911253776
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04350,Green,Kennebec,Litchfield,44.1628,-69.9392,0.734542457
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04349,Green,Kennebec,Kents Hill,44.4373,-70.0697,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04348,Green,Lincoln,Jefferson,44.2153,-69.4993,0.777198697
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04347,Green,Kennebec,Hallowell,44.2891,-69.8141,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04346,Green,Kennebec,Randolph,44.235,-69.7508,0.788347206
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04344,Green,Kennebec,Farmingdale,44.2589,-69.8212,0.855905785
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04342,Green,Lincoln,Dresden,44.0794,-69.7393,0.846517119
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04294,Green,Franklin,Wilton,44.6232,-70.2708,0.677974087
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04292,Green,Oxford,Sumner,44.3751,-70.4471,0.681069959
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04290,Green,Oxford,Peru,44.4736,-70.4506,0.690740741
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04289,Green,Oxford,West Paris,44.321,-70.5329,0.720183486
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04287,Green,Sagadahoc,Bowdoin,44.0579,-69.9693,0.732290708
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04285,Green,Franklin,Weld,44.7048,-70.4528,0.864367816
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04284,Green,Kennebec,Wayne,44.3459,-70.0649,0.865369650
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04282,Green,Androscoggin,Turner,44.2671,-70.2429,0.763042747
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04281,Green,Oxford,South Paris,44.2445,-70.4884,0.783605355
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04276,Green,Oxford,Rumford,44.5347,-70.6154,0.768567639
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04275,Green,Oxford,Roxbury,44.6897,-70.6373,0.803149606
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04274,Green,Androscoggin,Poland,44.0463,-70.39,0.836899334
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04270,Green,Oxford,Oxford,44.1126,-70.5154,0.797027329
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04268,Green,Oxford,Norway,44.2285,-70.6065,0.932478461
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04265,Green,Kennebec,North Monmouth,44.273,-70.0409,0.687262357
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04263,Green,Androscoggin,Leeds,44.2949,-70.1306,0.670573969
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04261,Green,Oxford,Newry,44.5476,-70.9217,0.939571150
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04260,Green,Cumberland,New Gloucester,43.9641,-70.2958,0.852695012
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04259,Green,Kennebec,Monmouth,44.2279,-70.0088,0.840643736
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04258,Green,Androscoggin,Minot,44.1483,-70.3375,0.832720588
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04257,Green,Oxford,Mexico,44.5734,-70.5135,0.726998492
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04256,Green,Androscoggin,Mechanic Falls,44.1033,-70.407,0.797177552
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04255,Green,Oxford,Greenwood,44.3362,-70.667,0.672520661
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04254,Green,Androscoggin,Livermore Falls,44.4324,-70.1426,0.610107198
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04253,Green,Androscoggin,Livermore,44.408,-70.2151,0.757162347
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04252,Green,Androscoggin,Lisbon Falls,44.0275,-70.0608,0.815962249
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04250,Green,Androscoggin,Lisbon,44.0259,-70.1172,0.820506749
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04239,Green,Franklin,Jay,44.5274,-70.2117,0.767299716
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04238,Green,Oxford,Hebron,44.2104,-70.3817,0.772363151
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04237,Green,Oxford,Hanover,44.4968,-70.726,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04236,Green,Androscoggin,Greene,44.1904,-70.1446,0.758742807
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04231,Green,Oxford,Stoneham,44.2641,-70.8853,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04224,Green,Oxford,Dixfield,44.5779,-70.4008,0.633869442
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04222,Green,Androscoggin,Durham,43.9644,-70.1297,0.971649485
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04221,Green,Oxford,Canton,44.4728,-70.3032,0.673854447
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04220,Green,Oxford,Buckfield,44.3371,-70.3518,0.708786091
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04219,Green,Oxford,Bryant Pond,44.4094,-70.5928,0.796141479
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04217,Green,Oxford,Bethel,44.3677,-70.8316,0.885374347
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04110,Green,Cumberland,Cumberland Foreside,43.7594,-70.2002,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04109,Green,Cumberland,Portland,43.6808,-70.1962,0.917525773
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04108,Green,Cumberland,Peaks Island,43.6607,-70.1887,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04107,Green,Cumberland,Cape Elizabeth,43.5905,-70.238,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04106,Green,Cumberland,South Portland,43.6297,-70.2923,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04105,Green,Cumberland,Falmouth,43.7495,-70.2848,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04103,Green,Cumberland,Portland,43.6945,-70.2929,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04102,Green,Cumberland,Portland,43.6595,-70.3077,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04101,Green,Cumberland,Portland,43.6614,-70.2584,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04097,Green,Cumberland,North Yarmouth,43.8515,-70.2363,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04096,Green,Cumberland,Yarmouth,43.8002,-70.1771,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04093,Green,York,Buxton,43.6428,-70.5377,0.866856195
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04092,Green,Cumberland,Westbrook,43.6958,-70.3537,0.992163009
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04091,Green,Cumberland,West Baldwin,43.8302,-70.7479,0.755140187
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04090,Green,York,Wells,43.3268,-70.634,0.985053631
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04088,Green,Oxford,Waterford,44.1936,-70.72,0.840400471
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04087,Green,York,Waterboro,43.5656,-70.7522,0.744501466
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04086,Green,Sagadahoc,Topsham,43.9616,-69.9592,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04085,Green,Cumberland,Steep Falls,43.7799,-70.6257,0.835487078
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04084,Green,Cumberland,Standish,43.7855,-70.5561,0.873846154
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04083,Green,York,Springvale,43.4674,-70.8139,0.870974576
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04079,Green,Cumberland,Harpswell,43.7992,-69.9887,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04078,Green,Cumberland,South Freeport,43.8197,-70.11,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04076,Green,York,Shapleigh,43.552,-70.8378,0.760084181
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04074,Green,Cumberland,Scarborough,43.5921,-70.369,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04073,Green,York,Sanford,43.4132,-70.7424,0.879507745
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04072,Green,York,Saco,43.5393,-70.4627,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04071,Green,Cumberland,Raymond,43.9211,-70.4616,0.945848375
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04069,Green,Cumberland,Pownal,43.8997,-70.1821,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04066,Green,Cumberland,Orrs Island,43.7707,-69.9668,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04064,Green,York,Old Orchard Beach,43.5239,-70.3907,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04062,Green,Cumberland,Windham,43.798,-70.4056,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04061,Green,York,North Waterboro,43.6342,-70.7427,0.754820144
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04055,Green,Cumberland,Naples,43.9702,-70.6152,0.888345957
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04051,Green,Oxford,Lovell,44.1895,-70.8848,0.745114007
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04050,Green,Cumberland,Long Island,43.6897,-70.1564,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04049,Green,York,Limington,43.7353,-70.7026,0.704534491
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04048,Green,York,Limerick,43.6886,-70.7865,0.784251969
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04047,Green,York,Parsonsfield,43.7355,-70.9117,0.685525695
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04046,Green,York,Kennebunkport,43.4221,-70.4943,0.986748466
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04043,Green,York,Kennebunk,43.3974,-70.571,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04042,Green,York,Hollis Center,43.6294,-70.6245,0.905489154
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04041,Green,Oxford,Hiram,43.8636,-70.8252,0.614792899
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04040,Green,Cumberland,Harrison,44.1373,-70.8085,0.814513701
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04039,Green,Cumberland,Gray,43.8873,-70.3453,0.956666256
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04038,Green,Cumberland,Gorham,43.7031,-70.4581,0.967635366
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04037,Green,Oxford,Fryeburg,44.0925,-70.9497,0.802862883
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04032,Green,Cumberland,Freeport,43.8594,-70.1016,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04030,Green,York,East Waterboro,43.5901,-70.6919,0.743359215
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04029,Green,Cumberland,Sebago,43.8962,-70.6663,0.848331648
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04024,Green,Cumberland,East Baldwin,43.8356,-70.6764,0.697503671
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04022,Green,Oxford,Denmark,43.9806,-70.8073,0.861625101
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04021,Green,Cumberland,Cumberland Center,43.7974,-70.2647,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04020,Green,York,Cornish,43.7682,-70.8105,0.812258065
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04019,Green,Cumberland,Cliff Island,43.6961,-70.1063,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04017,Green,Cumberland,Chebeague Island,43.7331,-70.1178,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04015,Green,Cumberland,Casco,43.9686,-70.5189,0.727452924
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04011,Green,Cumberland,Brunswick,43.9023,-69.9778,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04010,Green,Oxford,Brownfield,43.9329,-70.9167,0.707286432
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04009,Green,Cumberland,Bridgton,44.048,-70.7337,0.897782585
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04008,Green,Sagadahoc,Bowdoinham,44.0367,-69.8629,0.959619952
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04003,Green,Cumberland,Bailey Island,43.739,-69.9921,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04002,Green,York,Alfred,43.4955,-70.6791,0.902182285
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04001,Green,York,Acton,43.5301,-70.9211,0.726300258
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03911,Green,York,York,43.1367,-70.6461,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03910,Green,York,York,43.1714,-70.6094,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03909,Green,York,York,43.1681,-70.6813,0.890130862
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03908,Green,York,South Berwick,43.2388,-70.7473,0.745010183
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03907,Green,York,Ogunquit,43.2551,-70.6123,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03906,Green,York,North Berwick,43.3446,-70.7778,0.818090855
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03905,Green,York,Kittery Point,43.0921,-70.6859,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03904,Green,York,Kittery,43.1134,-70.7301,0.779350959
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03903,Green,York,Eliot,43.15,-70.7843,0.813472285
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",03902,Green,York,Cape Neddick,43.2227,-70.6382,0.930374593
